run_name,epoch,total_epochs,train_loss,val_loss,val_iou,val_f1,val_precision,val_recall
em_segformer_best_checkpoint,12,30,0.1538,0.1535,0.9217,0.9593,0.9678,0.9509
em_segformer_best_checkpoint,13,30,0.1472,0.1467,0.9229,0.9599,0.9726,0.9475
em_segformer_best_checkpoint,14,30,0.1425,0.1395,0.9294,0.9634,0.9644,0.9625
em_segformer_best_checkpoint,15,30,0.1387,0.1404,0.9275,0.9624,0.9634,0.9614
em_segformer_best_checkpoint,16,30,0.1359,0.1323,0.9306,0.9641,0.9698,0.9584
em_segformer_best_checkpoint,17,30,0.1255,0.1296,0.9336,0.9657,0.9712,0.9602
em_segformer_best_checkpoint,18,30,0.1217,0.1231,0.9373,0.9676,0.9644,0.9708
em_segformer_best_checkpoint,19,30,0.126,0.1264,0.9344,0.9661,0.9736,0.9586
em_segformer_best_checkpoint,20,30,0.1205,0.1187,0.9383,0.9682,0.9704,0.966
em_segformer_best_checkpoint,21,30,0.117,0.1204,0.9358,0.9668,0.9729,0.9608
em_segformer_best_checkpoint,22,30,0.1134,0.1197,0.936,0.9669,0.9733,0.9606
em_segformer_best_checkpoint,23,30,0.1152,0.1144,0.9397,0.9689,0.9704,0.9674
em_segformer_best_checkpoint,24,30,0.1087,0.1215,0.935,0.9664,0.9767,0.9564
em_segformer_best_checkpoint,25,30,0.1068,0.1139,0.941,0.9696,0.9659,0.9733
em_segformer_best_checkpoint,26,30,0.1084,0.1111,0.9416,0.9699,0.97,0.9699
em_segformer_best_checkpoint,27,30,0.1074,0.1105,0.9421,0.9702,0.9677,0.9727
em_segformer_best_checkpoint,28,30,0.1025,0.1148,0.9388,0.9684,0.9663,0.9706
em_segformer_best_checkpoint,29,30,0.107,0.1059,0.9433,0.9708,0.9735,0.9682
em_segformer_best_checkpoint,30,30,0.1022,0.1066,0.9433,0.9708,0.9711,0.9705
